Number,Name,Color,RGB str,Foreground Escape Code,Background Escape Code
167,IndianRed,,#d75f5f,[38:5:167m,[48:5:167m
168,HotPink3,,#d75f87,[38:5:168m,[48:5:168m
169,HotPink2,,#d75faf,[38:5:169m,[48:5:169m
170,Orchid,,#d75fd7,[38:5:170m,[48:5:170m
171,MediumOrchid1,,#d75fff,[38:5:171m,[48:5:171m
172,Orange3,,#d78700,[38:5:172m,[48:5:172m
173,LightSalmon3,,#d7875f,[38:5:173m,[48:5:173m
174,LightPink3,,#d78787,[38:5:174m,[48:5:174m
175,Pink3,,#d787af,[38:5:175m,[48:5:175m
176,Plum3,,#d787d7,[38:5:176m,[48:5:176m
177,Violet,,#d787ff,[38:5:177m,[48:5:177m
178,Gold3,,#d7af00,[38:5:178m,[48:5:178m
179,LightGoldenrod3,,#d7af5f,[38:5:179m,[48:5:179m
180,Tan,,#d7af87,[38:5:180m,[48:5:180m
181,MistyRose3,,#d7afaf,[38:5:181m,[48:5:181m
182,Thistle3,,#d7afd7,[38:5:182m,[48:5:182m
183,Plum2,,#d7afff,[38:5:183m,[48:5:183m
184,Yellow3,,#d7d700,[38:5:184m,[48:5:184m
185,Khaki3,,#d7d75f,[38:5:185m,[48:5:185m
186,LightGoldenrod2,,#d7d787,[38:5:186m,[48:5:186m
187,LightYellow3,,#d7d7af,[38:5:187m,[48:5:187m
188,Grey84,,#d7d7d7,[38:5:188m,[48:5:188m
189,LightSteelBlue1,,#d7d7ff,[38:5:189m,[48:5:189m
190,Yellow2,,#d7ff00,[38:5:190m,[48:5:190m
191,DarkOliveGreen1,,#d7ff5f,[38:5:191m,[48:5:191m
192,DarkOliveGreen1,,#d7ff87,[38:5:192m,[48:5:192m
193,DarkSeaGreen1,,#d7ffaf,[38:5:193m,[48:5:193m
194,Honeydew2,,#d7ffd7,[38:5:194m,[48:5:194m
195,LightCyan1,,#d7ffff,[38:5:195m,[48:5:195m
196,Red1,,#ff0000,[38:5:196m,[48:5:196m
197,DeepPink2,,#ff005f,[38:5:197m,[48:5:197m
198,DeepPink1,,#ff0087,[38:5:198m,[48:5:198m
199,DeepPink1,,#ff00af,[38:5:199m,[48:5:199m
